ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
080757516X,10.0,1,"Snowbound Mystery (Boxcar Children, No 13)",Gertrude Chandler Warner,1990.0,10.0
080901548X,7.0,1,The Dark Child : The Autobiography of an African Boy,Camara Laye,1954.0,7.0
080912596X,3.0,1,Dealing With Difficult People: How You Can Come Out on Top in Personality Conflicts,Charles Keating,1984.0,3.0
080913960X,6.0,1,Settings of Silver: An Introduction to Judaism,Stephen M. Wylen,2000.0,6.0
081011514X,8.0,1,The Encyclopedia of the Dead (European Classics),Danilo Kis,1997.0,8.0
081120068X,8.666666666666666,3,Siddhartha,Hermann Hesse,1951.0,26.0
081120457X,8.5,2,Captain's Verses (New Directions Paperbook),Pablo Neruda,1972.0,17.0
081120958X,8.0,1,Selected Poems,William Carlos Williams,1985.0,8.0
081180464X,7.0,1,Chivalry: The Path of Love (Medieval Wisdom),C. J. McKnight,1994.0,7.0
081253073X,7.5,2,Tales of the Flying Mountains,Poul Anderson,1984.0,15.0
081257558X,7.333333333333333,3,"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,2002.0,22.0
081257639X,8.0,5,"Faith of the Fallen (Sword of Truth, Book 6)",Terry Goodkind,2001.0,40.0
081296666X,6.0,4,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003.0,24.0
081296683X,7.2,5,Girls' Poker Night: A Novel,Jill Davis,2003.0,36.0
081296697X,8.0,1,Selected Short Stories of John O'Hara (The Modern Library Classics),John O'Hara,2003.0,8.0
081296747X,6.0,1,The Majesty of the Law : Reflections of a Supreme Court Justice,SANDRA DAY O'CONNOR,2004.0,6.0
081296800X,5.0,1,Getting Mother's Body : A Novel,SUZAN-LORI PARKS,2004.0,5.0
081297106X,8.384615384615385,13,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003.0,109.0
082122154X,10.0,1,London (Art in Focus),Thomas Parsons,1995.0,10.0
082171306X,6.0,1,Personal Habits,Shannon Lewis,1984.0,6.0
082172679X,7.0,1,Tender Betrayal,Lauren Wilde,1989.0,7.0
082173427X,10.0,1,Wild Wyoming Love,Dana Ransom,1991.0,10.0
082173718X,8.0,1,Caress of Fire,Martha Hix,1992.0,8.0
082175856X,5.0,1,Sara's Song,Fern Michaels,1998.0,5.0
082176828X,7.0,3,What You Wish for,Fern Michaels,2001.0,21.0
082176845X,9.0,1,On Thin Ice,Susan Andersen,2002.0,9.0
082177364X,7.0,3,Finders Keepers,Fern Michaels,2002.0,21.0
082177462X,8.25,4,Kentucky Sunrise,Fern Michaels,2003.0,33.0
082177512X,8.333333333333334,3,Say No to Joe?,Lori Foster,2003.0,25.0
082302377X,10.0,1,"How to Draw Halloween, Christmas &amp; Seasonal Characters (How to Draw (Watson Guptill))",Christopher Hart,1999.0,10.0
083611714X,8.0,1,Rosanna of the Amish,Joseph Warren Yoder,1973.0,8.0
084230052X,8.0,3,Atonement Child,Francine Rivers,1999.0,24.0
084232920X,9.333333333333334,6,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind #6)",Tim Lahaye,1999.0,56.0
084233226X,8.583333333333334,12,Desecration: Antichrist Takes the Throne (Left Behind No. 9),Tim Lahaye,2001.0,103.0
084233596X,8.0,1,Unashamed (Lineage of Grace #2),Francine Rivers,2000.0,8.0
084234327X,6.0,1,"Busted! (Left Behind. the Kids, 7)",Jerry Jenkins,2000.0,6.0
084234330X,6.0,1,On the Run (Left Behind: The Kids #10),Jerry Jenkins,2000.0,6.0
084235266X,8.0,2,Bringing Up Boys: Practical Advice and Encouragement for Those Shaping the Next Generation of Men,James C. Dobson,2001.0,16.0
084236661X,5.0,1,The Strong-Willed Child: Birth Through Adolescence,James Dobson,1985.0,5.0
084311861X,8.0,1,The Should I Have a Baby Test,Joy Grdnic,1988.0,8.0
084394272X,10.0,1,Purity (Dangerous Virtues Series),Elaine Barbieri,1997.0,10.0
084395258X,6.0,1,They Wear What Under Their Kilts,Katie Maxwell,2004.0,6.0
084395275X,10.0,1,Red Angel,Andrew Harper,2003.0,10.0
084770176X,9.0,1,LA Segunda Hija,Olga Nolla,1993.0,9.0
084991437X,10.0,1,Jesus Among Other Gods The Absolute Claims Of The Christian Message,Ravi Zacharias,2000.0,10.0
084994371X,7.5,2,Blink,Ted Dekker,2003.0,15.0
085045512X,7.0,1,"Napoleon's Line Infantry (Men at Arms Series, 148)",Philip Haythornthwaite,1984.0,7.0
085079188X,10.0,1,Sunday express &amp; Daily express cartoons: Forty-third series,Giles,1989.0,10.0
085572191X,7.0,1,100 Walks in Tasmania,Thomas,1994.0,7.0
086316160X,8.0,1,Foucault for Beginners (Writers and Readers Documentary Comic Books: 62),Lydia Alix Fillingham,1994.0,8.0
086547642X,5.0,1,"Positively 4th Street: The Lives and Times of Joan Baez, Bob Dylan, Mimi Baez Farina and Richard Farina",David Hajdu,2002.0,5.0
086611954X,9.0,1,The Call of the Wild (Great Illustrated Classics),Jack London,1989.0,9.0
086914359X,6.5,2,Bones,Gabrielle Lord,1995.0,13.0
087113375X,7.0,3,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990.0,21.0
087113795X,7.857142857142857,7,Peace Like a River,Leif Enger,2001.0,55.0
087123615X,7.0,1,With This Ring,Marian Wells,1984.0,7.0
087123940X,9.0,1,A Daughter of Zion (The Zion Chronicles Book II),Bodie Thoene,1987.0,9.0
087131794X,9.0,1,Dr. Atkins' New Diet Cookbook,"Robert C., Md. Atkins",1995.0,9.0
087216683X,4.0,1,Rhea,Russ Martin,1980.0,4.0
087226002X,7.0,1,Celtic Mythology (Library of the World's Myths and Legends),Proinsias Mac Cana,1985.0,7.0
087406841X,5.0,1,A Horse for Mandy,Lurlene McDaniel,1997.0,5.0
087483435X,7.0,1,"The Storytelling Coach: How to Listen, Praise, and Bring Out People's Best (American Storytelling (Cloth))",Doug Lipman,1995.0,7.0
087542127X,7.8,5,The Truth About Witchcraft Today (Llewellyn's New Age),Scott Cunningham,1988.0,39.0
087542791X,8.625,8,To Ride a Silver Broomstick: New Generation Witchcraft,Silver Ravenwolf,1993.0,69.0
087923573X,7.5,2,Swallows and Amazons (Godine Storyteller),Arthur Ransome,1986.0,15.0
087951602X,6.0,1,Temporary Agency,Rachel Pollack,1995.0,6.0
088001380X,9.0,2,Worshipful Company of Fletchers: Poems,James Tate,1994.0,18.0
088029261X,9.0,2,Complete Sherlock Holmes,Arthur Conan Doyle,0.0,18.0
088038204X,5.0,1,Tower of Darkness (Dungeons and Dragons Adventure Book),Regina Oehler Fultz,1985.0,5.0
088038672X,8.333333333333334,3,"Streams of Silver (Forgotten Realms: The Icewind Dale Trilogy, Book 2)",R.A. Salvatore,1989.0,25.0
088038722X,7.333333333333333,3,Darkness and Light (Dragonlance: Preludes),Paul B. Thompson,1989.0,22.0
088064219X,8.0,1,The Private Life of Kim Philby: The Moscow Years,Rufina Philby,2000.0,8.0
088138013X,8.0,1,Mr. Death and the Redheaded Woman (A Star &amp; elephant book),Helen Eustis,1983.0,8.0
088138044X,9.0,1,IF YOU'RE AFRAID OF DARK,Cooper Edens,1991.0,9.0
088240041X,10.0,1,Richard Harrington's Yukon,Richard Harrington,1974.0,10.0
088730866X,6.25,4,The Dilbert Future: Thriving on Stupidity in the 21st Century,Scott Adams,1997.0,25.0
088899088X,8.0,1,Up to Low,Brian Doyle,1991.0,8.0
088950900X,3.0,1,Seeds of change,Thomas F. Monteleone,1975.0,3.0
089281781X,7.0,1,"Gesundheit!: Bringing Good Health to You, the Medical System, and Society Through Physician Service, Complementary Therapies, Humor, and Joy",Patch Adams,1998.0,7.0
089281859X,7.0,1,The Templars and the Assassins: The Militia of Heaven,James Wasserman,2001.0,7.0
089296524X,10.0,1,The Holy Thief (Brother Cadfael Mysteries (Hardcover)),Ellis Peters,1993.0,10.0
089296765X,8.0,1,Dead Midnight (Sharon McCone Mysteries (Hardcover)),Marcia Muller,2002.0,8.0
089480751X,8.666666666666666,3,Dairy Hollow House Soup &amp; Bread: A Country Inn Cookbook,Crescent Dragonwagon,1992.0,26.0
089480829X,8.592592592592593,27,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996.0,232.00000000000003
089529768X,8.0,1,Lick the Sugar Habit,Nancy Appleton,1996.0,8.0
089577402X,6.5,2,A journey to the center of the earth (World's best reading),Jules Verne,1992.0,13.0
089586763X,4.0,1,Pregnant &amp; lovin' it,Lindsay R Curtis,1988.0,4.0
089587198X,7.0,1,Great Bike Rides in and Around Winston-Salem,Judi Lawson Wallace,2000.0,7.0
089622662X,5.0,1,The Soul of Celtic Spirituality: In the Lives of Its Saints,Michael Mitton,1996.0,5.0
089733356X,8.0,1,In a Dark Wood Wandering/a Novel of the Middle Ages,Hella Haase,1991.0,8.0
089919513X,6.0,2,Olive and the Magic Hat,Eileen Christelow,1987.0,12.0
090898801X,10.0,1,Wild at Heart: The South Island's West Coast,Paddy Ryan,1994.0,10.0
093033003X,8.0,1,Lady Molly of Scotland Yard,Emmuska Orczy,1981.0,8.0
093158079X,10.0,1,Do It! Let's Get Off Our But's (The Life 101 Series),Peter McWilliams,1994.0,10.0
093317490X,7.0,1,"The Yucatan: A Guide to the Land of Maya Mysteries Plus Sacred Sites at Belize, Tikal &amp; Copan (Tetra)",Antoinette May,1993.0,7.0
093439573X,6.0,1,Dixie Ghosts (American Ghosts),"Frank D., Jr. McSherry",1988.0,6.0
093527829X,8.0,1,My First Sewing Book: Hand Sewing (My First Sewing Book Kit),Winky Cherry,1995.0,8.0
094180741X,10.0,1,The Little Big Book for Moms,Lena Tabori,2000.0,10.0
094383208X,9.0,1,Devotions to the Saints,Anna Riva,1982.0,9.0
096265342X,9.666666666666666,3,Principia Discordia,Omar K. Ravenhurst,1991.0,29.0
096444724X,1.0,1,Peace Corps - The Great Adventure: Volunteer Stories of Life Overseas,Peace Corps,1999.0,1.0
096521365X,7.5,2,Los Diary,Pia Pera,0.0,15.0
096533192X,10.0,1,The Secret Life of Bees,Sue Monk Kidd,2002.0,10.0
096664431X,8.0,1,Study in Scarlet (Sherlock Holmes),Arthur Conan Doyle,1998.0,8.0
096702420X,10.0,1,Angel On Board,EJ Thornton,1998.0,10.0
096737930X,10.0,1,Rock Pickers Guide to Lake Superior's North Shore,Mark Stensaas,2003.0,10.0
096774590X,10.0,1,Lofting,Alma Marceau,2001.0,10.0
096843911X,5.0,1,Feng Shui : Going with the Flow,Lina Visconti,2000.0,5.0
097089726X,9.0,1,Jasper,Michelle Groce,2003.0,9.0
097089726x,10.0,1,Jasper,Michelle Groce,2003.0,10.0
097213011X,10.0,1,The Big Girls' Guide to Life: A Plus-Sized Jaunt Through a Body-Obsessed World,Bunkie Lynn,2003.0,10.0
1400002877,6.0,1,Hija del curandero,AMY TAN,2002.0,6.0
1400030382,8.444444444444445,9,The Piano Tuner : A Novel,DANIEL MASON,2003.0,76.0
140003065X,7.909090909090909,22,A Fine Balance,Rohinton Mistry,2001.0,174.0
1400030927,7.5,4,Jennifer Government,MAX BARRY,2004.0,30.0
1400031001,8.333333333333334,3,Any Human Heart,WILLIAM BOYD,2004.0,25.0
1400031028,5.0,1,Paris in Mind: Three Centuries of Americans Writing About Paris (Vintage Departures),Jennifer Lee,2003.0,5.0
1400031346,8.375,16,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002.0,134.0
1400031354,8.405405405405405,37,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,311.0
1400031362,7.9411764705882355,17,Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,135.0
140003180X,7.8,10,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004.0,78.0
1400032644,6.5,2,The Diary of an American Au Pair: A Novel,Marjorie Leet Ford,2003.0,13.0
1400032717,8.727272727272727,22,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004.0,192.0
1400032806,9.0,3,Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2004.0,27.0
1400034671,10.0,1,El amor en los tiempos de colera (Vintage Espanol),GABRIEL GARCIA MARQUEZ,2003.0,10.0
1400034779,8.222222222222221,54,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003.0,443.99999999999994
1400034817,7.0,1,Red Meat Cures Cancer,STARBUCK O'DWYER,2004.0,7.0
1400034957,8.333333333333334,3,Cronica de una muerte anunciada (Vintage Espanol),GABRIEL GARCIA MARQUEZ,2003.0,25.0
1400034965,8.0,1,El general en su laberinto (Vintage Espanol),GABRIEL GARCIA MARQUEZ,2003.0,8.0
1400040442,9.0,1,Bangkok 8,JOHN BURDETT,2003.0,9.0
1400041414,7.5,2,The Murder Room,P.D. JAMES,2003.0,15.0
1400041988,8.0,1,Pnin,VLADIMIR NABOKOV,2004.0,8.0
1400042070,7.375,8,The Amateur Marriage: A Novel,ANNE TYLER,2004.0,59.0
1400045029,9.0,1,Cooking for Harry : A Low-Carbohydrate Novel,KAY-MARIE JAMES,2004.0,9.0
1400045088,8.5,2,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,DOUGLAS ADAMS,2002.0,17.0
140004538X,8.0,2,Sins of the Seventh Sister,Huston Curtiss,2003.0,16.0
1400046610,6.0,3,Slander: Liberal Lies About the American Right,ANN COULTER,2002.0,18.0
1400047714,8.333333333333334,3,Pigs at the Trough: How Corporate Greed and Political Corruption Are Undermining America,Arianna Huffington,2003.0,25.0
1400047838,7.666666666666667,3,"Fugitives and Refugees : A Walk in Portland, Oregon (Crown Journeys)",CHUCK PALAHNIUK,2003.0,23.0
1400047943,10.0,2,The 5 Patterns of Extraordinary Careers : The Guide for Achieving Success and Satisfaction,JAMES M. CITRIN,2003.0,20.0
140004832X,8.0,1,Ambulance Girl: How I Saved Myself by Becoming an EMT,JANE STERN,2003.0,8.0
1400060052,6.4,5,"Lucia, Lucia : A Novel",ADRIANA TRIGIANI,2003.0,32.0
1400060117,8.25,4,A Round-Heeled Woman : My Late-Life Adventures in Sex and Romance,JANE JUSKA,2003.0,33.0
1400060222,5.5,2,Getting Mother's Body : A Novel,SUZAN-LORI PARKS,2003.0,11.0
1400060265,8.333333333333334,3,Honku : The Zen Antidote to Road Rage,AARON NAPARSTEK,2003.0,25.0
1400060427,8.0,1,Girl Cook: A Novel,Hannah McCouch,2003.0,8.0
1400060648,7.5,2,"The Bone Woman : A Forensic Anthropologist's Search for Truth in the Mass Graves of Rwanda,Bosnia, Croatia, and Kosovo",Clea Koff,2004.0,15.0
1400060737,8.8,5,The Birth of Venus,Sarah Dunant,2004.0,44.0
1400060923,5.0,3,"Lost Boy, Lost Girl",PETER STRAUB,2003.0,15.0
1400061598,9.5,2,"The Art of Mending : A Novel (Berg, Elizabeth)",ELIZABETH BERG,2004.0,19.0
1400062888,5.0,2,Obliviously On He Sails : The Bush Administration in Rhyme,CALVIN TRILLIN,2004.0,10.0
1400077826,9.166666666666666,6,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003.0,55.0
1401040861,10.0,1,Angels and Bolters: Women's Cancer Scripts,Karen Ritchie,2002.0,10.0
1401068049,7.5,2,Revelation and the Fall of Judea,Maurice A. Williams,2002.0,15.0
1401073549,4.0,1,Blades of Grass: Memories and Memiors,Dominick Dan Loiacono,2002.0,4.0
1401088945,4.6,5,Ground Zero and Beyond,J. P. McCarthy,2003.0,23.0
1401200893,9.0,2,"Endless Nights (The Sandman, Book 11)",Neil Gaiman,2003.0,18.0
1401300014,8.0,1,The Essential 55: An Award-Winning Educator's Rules for Discovering the Successful Student in Every Child,Ron Clark,2003.0,8.0
1401300065,6.5,2,Gasping for Airtime : Two Years in the Trenches of Saturday Night Live,Jay Mohr,2004.0,13.0
1401300316,8.25,4,The Center of Everything,Laura Moriarty,2003.0,33.0
1401300901,8.0,3,"PS, I Love You",Cecelia Ahern,2004.0,24.0
1401900844,10.0,2,Sylvia Browne's Book of Angels,Sylvia Browne,2003.0,20.0
1401901484,7.5,2,Life Is Short-Wear Your Party Pants: Ten Simple Truths That Lead to an Amazing Life,Loretta Laroche,2003.0,15.0
1402511787,8.0,1,Atonement,Ian McEwan,2002.0,8.0
1402710658,8.0,1,Classic Whodunits,Stanley Smith,2003.0,8.0
140332557X,10.0,1,The Little Guide to Happiness: How to Smile Again,Michael Kevin Naselli,2001.0,10.0
1404306781,8.0,1,The Haunted Bookshop,Christopher Morley,2002.0,8.0
1405200677,8.0,1,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002.0,8.0
1410729435,9.5,4,Lucy's Treasure,G. E. Dabbs,2003.0,38.0
1410755568,9.0,2,"Forever Yours, Tomcat",Marybeth Sparrow,2003.0,18.0
1410784924,10.0,1,Myths of the Super Parent: Finding the Power of Real Parenting,"Elizabeth Sledden, Ph.D. Dybell",2003.0,10.0
1410798860,10.0,1,The Diary of Alice Mary: A Factual Childhood Diary Written During the World War II Years by Joe Connally for His Young Motherless Child With Quotations Throughout This Book,Alice Mary Connally Fisk,2003.0,10.0
1412014050,10.0,1,Natural Affinities,James Ryan,2004.0,10.0
1414034563,10.0,2,When in Doubt...Blame a Jew!: A Personal and People's Memoir of Anti-Semitism,Arnold P. Abbott,2004.0,20.0
1414035004,10.0,1,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003.0,10.0
1414051999,10.0,1,The Sea Shack,Mark McNulty,2004.0,10.0
1550130498,6.0,1,Home Movies: Tales from the Canadian Film World,Martin Knelman,1987.0,6.0
1550130544,8.0,1,Voices from the Vaults: Authentic Tales of Vampires and Ghosts,Devendra P. Varma,1988.0,8.0
1550130684,3.0,1,The Lighthearted Cookbook: Recipes for Healthy Heart Cooking,Anne Lindsay,1988.0,3.0
1550130994,8.0,1,Photography and the Art of Seeing,Freeman Patterson,1989.0,8.0
1550135457,7.0,1,Coke Stop in Emo: Adventures of a Long-Distance Paddler,Alec Ross,1995.0,7.0
1550135570,6.0,1,Charlotte and Claudia keeping in touch: A novel,Joan Barfoot,1994.0,6.0
1550139029,7.666666666666667,3,The hidden life of humans: A novel,Erika Ritter,1997.0,23.0
1550171348,6.0,1,The Whole Fam Damily,Anne Cameron,1996.0,6.0
1550171631,6.0,1,Dogless in Metchosin,Tom Henry,1997.0,6.0
1550223968,6.6,5,Too Close to the Falls: A Memoir,Catherine Gildiner,1999.0,33.0
1550541129,6.666666666666667,3,Bachelor brothers' bed &amp; breakfast,Bill Richardson,1993.0,20.0
155054439X,8.5,2,Bachelor brothers' bed &amp; breakfast pillow book,Bill Richardson,1995.0,17.0
1550544683,8.2,5,Jade Peony,Wayson Choy,1995.0,41.0
1550546007,9.0,1,Why I Hate Canadians,Will Ferguson,1999.0,9.0
1550546163,8.0,1,Frozen In Time: The Fate of The Franklin Expedition,Owen Beattie,2000.0,8.0
1550548166,8.0,1,The Trade,Fred Stenson,2000.0,8.0
1550548409,7.0,1,Open Arms,Marina Endicott,2001.0,7.0
1550548913,8.454545454545455,11,How to Be a Canadian: Even If You Already are One,Will Ferguson,2003.0,93.0
1551050765,10.0,1,Lois Hole's Perennial Favorites (Lois Hole's Perennial Favorites),Lois Hole,1996.0,10.0
1551050900,10.0,1,Animal Tracks of Washington and Oregon (Animal Tracks Guides),Ian Sheldon,1997.0,10.0
1551051737,10.0,1,Birds of Alberta,Chris C. Fisher,1998.0,10.0
1551053020,5.0,1,Canadian Ghost Stories,Barbara Smith,2001.0,5.0
1551108496,10.0,1,The Essential Dessert Cookbook (Essential Series),Whitecap Books,1999.0,10.0
1551110652,9.0,1,Heart of darkness (Broadview literary texts),Joseph Conrad,1999.0,9.0
1551113074,7.0,2,Heart of Darkness (Broadview Literary Texts),Joseph Conrad,1999.0,14.0
1551520559,6.5,2,Bad Jobs: My Last Shift at Albert Wong's Pagoda and Other Ugly Tales of the Workplace,Carellin Brooks,1998.0,13.0
1551563452,10.0,1,Handstiched Book of Kells Lined Quoniam,Blank Journal,2003.0,10.0
1551660016,10.0,2,The Devil's Own,Sandra Brown,1994.0,20.0
1551660202,7.0,1,Last Honest Woman,Nora Roberts,1995.0,7.0
1551660237,10.0,1,Tiger Prince,Kenneth T. Brown,1994.0,10.0
1551660261,8.0,1,Fulfillment,Barbara Delinsky,1995.0,8.0
1551660431,6.333333333333333,3,Full Bloom,Jayne Ann Krentz,1995.0,19.0
1551660482,10.0,1,Guilt By Silence,Tom Smith,1995.0,10.0
1551660504,6.5,2,Skin Deep,Nora Roberts,1995.0,13.0
1551660520,5.0,1,Promise Me Forever,Debbie Macomber,1995.0,5.0
1551660571,8.666666666666666,3,Sweet Memories,Lavyrle Spencer,1995.0,26.0
1551660717,7.6,5,Forbidden Fruit,Erica Spindler,1996.0,38.0
1551660733,8.0,1,Only Forever,Jim Miller,1995.0,8.0
1551660903,8.0,1,Destiny'S Child,Barbara Bretton,1995.0,8.0
1551661535,8.0,1,Midnight Rainbow,Linda Howard,1996.0,8.0
1551661551,6.0,1,Common Passions,Taylor Smith,1996.0,6.0
1551662604,7.5,6,This Matter Of Marriage,Debbie Macomber,1997.0,45.0
1551662779,7.75,4,Best Of Enemies,Taylor Smith,1997.0,31.0
155166285X,5.0,1,If Looks Could Kill,Heather Graham Pozzessere,1997.0,5.0
1551662906,7.0,2,Home To Eden,Dallas Schulze,1997.0,14.0
1551662914,7.0,3,Above And Beyond,Sandra Brown,1997.0,21.0
155166416X,10.0,1,Sweet Baby,Sharon Sala,1998.0,10.0
1551664313,8.5,2,Random Acts,Taylor Smith,1998.0,17.0
1551664348,7.75,4,Montana,Debbie Macomber,1998.0,31.0
1551664402,3.0,2,Hard Candy,Mary Lynn Baxter,1998.0,6.0
1551664445,5.0,1,"To Love, Honor And Betray",Penny Jordan,1998.0,5.0
155166450X,8.0,1,Impetuous,Candace Camp,1998.0,8.0
1551664941,4.0,2,Cowboy,Jayne Ann Krentz,1999.0,8.0
1551664992,7.0,3,Lost Highways,Curtiss Matlock,1999.0,21.0
1551665026,7.0,1,Promise Texas,Debbie Macomber,1999.0,7.0
1551665166,5.0,1,Crashing Down,Meg O'Brien,1999.0,5.0
1551665204,8.4,5,Baby Farm,Karen Harper,1999.0,42.0
1551665301,7.555555555555555,9,Book Club,Mary Alice Monroe,1999.0,68.0
155166531X,7.666666666666667,3,Tiger Prince,Sandra Brown,1999.0,23.0
1551665344,6.0,2,Horsemasters Daughter,Susan Wiggs,1999.0,12.0
1551665360,9.0,1,Trust No One,Christiane Heggan,1999.0,9.0
1551665557,8.0,3,Family Way,Jayne Ann Krentz,1999.0,24.0
1551665638,6.5,2,Call It Destiny (Mira),Jayne Ann Krentz,2000.0,13.0
155166576X,7.0,1,"Dakota Born (Dakota Trilogy, Book 1)",Debbie Macomber,2000.0,7.0
1551665794,6.0,2,Twelve Across,Barbara Delinsky,2000.0,12.0
1551665816,7.0,1,Expose (Mira),Laura Van Wormer,2000.0,7.0
1551665999,7.5,2,Driving Lessons (Mira),Curtiss Matlock,2000.0,15.0
1551666014,9.5,2,Tomorrow's Promise: Can the Heart Let Go of Yesterday?,Sandra Brown,2000.0,19.0
1551666030,8.0,1,Prodigal Daughter,Ginna Gray,2000.0,8.0
1551666170,8.0,1,Lord Of The Desert (Mira),Diana Palmer,2000.0,8.0
1551666189,9.25,4,Manhunting (Mira),Jennifer Crusie,2000.0,37.0
1551666200,9.0,1,Sarah'S Child - Hardcover,Linda Howard,2000.0,9.0
1551666219,5.0,1,Savage Desire (Mira),Rosemary Rogers,2000.0,5.0
1551666235,8.0,1,Wild Enough For Willa (Mira),Ann Major,2000.0,8.0
1551666618,2.0,1,Impetuous Innocent,Stephanie Laurens,2003.0,2.0
1551666650,7.5,6,Hurricane Bay,Heather Graham,2003.0,45.0
1551666685,8.666666666666666,3,Embrace the Twilight,Maggie Shayne,2003.0,26.0
155166674X,7.6923076923076925,13,Between Friends,Debbie Macomber,2003.0,100.0
1551666766,8.0,1,Naughty Marietta,Nan Ryan,2003.0,8.0
1551666839,4.5,2,Dead Run,Erica Spindler,2003.0,9.0
1551666855,8.0,1,The Love Knot,Rebecca Brandewyne,2003.0,8.0
1551666901,8.5,2,Changing Habits,Debbie Macomber,2003.0,17.0
1551666952,7.0,2,The Falls,Karen Harper,2003.0,14.0
1551666960,6.5,2,The Delaney Woman,Jeanette Baker,2003.0,13.0
1551666987,7.0,1,Marriage by the Book,Joan Johnston,2003.0,7.0
1551667010,7.125,8,The Soul Catcher: A Maggie O'Dell Novel,Alex Kava,2003.0,57.0
1551667215,7.0,4,The Book Club,Mary Alice Monroe,2003.0,28.0
1551667339,8.5,2,White Lies,Linda Howard,2003.0,17.0
1551667371,9.0,1,Thicker Than Water,Maggie Shayne,2003.0,9.0
1551667401,7.5,2,Out Of The Dark,Sharon Sala,2003.0,15.0
1551667436,8.0,7,Strange Bedpersons,Jennifer Crusie,2003.0,56.0
1551667479,7.0,2,The Other Twin,Katherine Stone,2003.0,14.0
1551667509,7.5,4,Haunted,Heather Graham,2003.0,30.0
1551667533,10.0,1,Recipes For Easy Living,Curtiss Ann Matlock,2003.0,10.0
1551667878,9.0,1,Night Heat,Heather Graham,2001.0,9.0
1551667894,8.0,6,Four Seasons,Mary Alice Monroe,2001.0,48.0
1551667932,9.0,1,Devil'S Own,Sandra Brown,2001.0,9.0
1551667959,5.0,1,7b,Stella Cameron,2001.0,5.0
1551667967,6.333333333333333,3,Dead End,Helen Myers,2001.0,19.0
1551668068,6.0,3,Fox River,Emilie Richards,2001.0,18.0
1551668076,9.0,1,Gathering Lies,Meg O'Brien,2001.0,9.0
1551668084,6.5,4,Storm Warning,Dinah Mccall,2001.0,26.0
1551668106,10.0,1,Granite Man,Elizabeth Lowell,2001.0,10.0
1551668122,7.5,4,Night Of The Black Bird,Heather Graham,2001.0,30.0
1551668130,7.0,1,The Widow,Anne Stuart,2001.0,7.0
1551668157,7.0,2,About That Man,Sherryl Woods,2001.0,14.0
1551668181,10.0,1,Innocents Club,Taylor Smith,2001.0,10.0
1551668246,6.2,5,Perfect Evil (Maggie O'Dell Novels (Paperback)),Alex Kava,2001.0,31.0
1551668254,8.0,2,Road Taken,Rona Jaffe,2001.0,16.0
1551668270,8.0,1,Cold Tea On A Hot Day,Curtiss Matlock,2001.0,8.0
1551668289,6.0,3,Looking For Laura,Judith Arnold,2001.0,18.0
1551668394,6.5,2,Wedding Party,Robyn Carr,2001.0,13.0
1551668424,6.0,2,Fifth Daughter,Elaine Coffman,2001.0,12.0
1551668432,7.75,4,Texas Ranger,Diana Palmer,2001.0,31.0
1551668440,7.0,3,Snowfall,Sharon Sala,2001.0,21.0
1551668459,6.0,2,Cabin,Carla Neggers,2002.0,12.0
1551668467,7.0,2,Deepest Water,Kate Wilhelm,2001.0,14.0
1551668483,8.0,4,North Of Clever,Suzann Ledbetter,2001.0,32.0
1551668610,8.0,1,Sarah'S Child,Linda Howard,2001.0,8.0
1551668637,7.6,5,New Attitude,Charlotte Hughes,2001.0,38.0
1551668653,7.125,8,Getting Rid Of Bradley,Jennifer Crusie,2001.0,57.0
1551668785,5.0,1,Final Stand,Helen Myers,2002.0,5.0
155166884X,7.714285714285714,7,Doing Good,Pamela Morsi,2002.0,54.0
1551668912,7.8,10,Thursday'S At Eight,Debbie Macomber,2002.0,78.0
1551668947,6.2,5,White Mountain,Dinah Mccall,2002.0,31.0
1551668998,8.454545454545455,11,Beach House,Mary Alice Monroe,2002.0,93.0
1551669021,5.333333333333333,3,Like Silk,Mary Lynn Baxter,2002.0,16.0
1551669153,8.8,5,Split Second (Maggie O'Dell Novels (Paperback)),Alex Kava,2001.0,44.0
1551669188,7.5,2,Love In Bloom's,Judith Arnold,2002.0,15.0
